ezqcid,AnatAll.lcj.score1,AnatRestAll.lcj.score1,hcpall.lcj.score1,AnatAll.lcj.score2,AnatRestAll.lcj.score2,AnatAll.lcj.score3,AnatRestAll.lcj.score3,AnatRestAll.lcj.score4,AnatAll.lcj.tag1,AnatRestAll.lcj.tag1,hcpall.lcj.tag1,AnatAll.lcj.tag2,AnatRestAll.lcj.tag2,hcpall.lcj.tag2,AnatRestAll.lcj.tag3,hcpall.lcj.tag3,sublist,subid,SESSION,moddir,mod,RUN,isnii,rest_check,fsrecon_dir,anat_check,fs_check,ezqcbatch,AnatAll.lcj.button,AnatRestAll.lcj.button,hcpall.lcj.button,AnatAll.lcj.control,AnatRestAll.lcj.control,hcpall.lcj.control,AnatAll.lcj.filename,AnatRestAll.lcj.filename,hcpall.lcj.filename,AnatAll.lcj.filepath,AnatRestAll.lcj.filepath,hcpall.lcj.filepath,AnatAll.lcj.interper,AnatRestAll.lcj.interper,hcpall.lcj.interper,AnatAll.lcj.label,AnatRestAll.lcj.label,hcpall.lcj.label,AnatAll.lcj.score1label,AnatRestAll.lcj.score1label,hcpall.lcj.score1label,AnatAll.lcj.score1num,AnatRestAll.lcj.score1num,hcpall.lcj.score1num,AnatAll.lcj.score1num_,AnatRestAll.lcj.score1num_,hcpall.lcj.score1num_,AnatAll.lcj.score2label,AnatRestAll.lcj.score2label,AnatAll.lcj.score2num,AnatRestAll.lcj.score2num,AnatAll.lcj.score2num_,AnatRestAll.lcj.score2num_,AnatAll.lcj.score3label,AnatRestAll.lcj.score3label,AnatAll.lcj.score3num,AnatRestAll.lcj.score3num,AnatAll.lcj.score3num_,AnatRestAll.lcj.score3num_,AnatRestAll.lcj.score4label,AnatRestAll.lcj.score4num,AnatRestAll.lcj.score4num_,AnatAll.lcj.select_filter,AnatRestAll.lcj.select_filter,hcpall.lcj.select_filter,AnatAll.lcj.showing,AnatRestAll.lcj.showing,hcpall.lcj.showing,AnatAll.lcj.tag1label,AnatRestAll.lcj.tag1label,hcpall.lcj.tag1label,AnatAll.lcj.tag2label,AnatRestAll.lcj.tag2label,hcpall.lcj.tag2label,AnatRestAll.lcj.tag3label,hcpall.lcj.tag3label,AnatAll.lcj.time,AnatRestAll.lcj.time,hcpall.lcj.time,AnatAll.lcj.watch_mode,AnatRestAll.lcj.watch_mode,hcpall.lcj.watch_mode
CCNPCKG0001_01_rest01,,3.0,3.0,,3.0,,3.0,3.0,,False,True,,False,False,False,False,CCNPCKG0001_01,CCNPCKG0001,1,rest01,rest,1.0,1,5.0,CCNPCKG0001_01,3.0,2.0,1,,{},{},,False,True,,AnatRestAll._.CCNPCKG0001_01_rest01._.lcj._.3._.False.json,hcpall._.CCNPCKG0001_01_rest01._.lcj._.3._.True.json,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatRestAll/lcj/AnatRestAll._.CCNPCKG0001_01_rest01._.lcj._.3._.False.json,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0001_01_rest01._.lcj._.3._.True.json,,shell,shell,,AnatRestAll,hacpall,,headmotion,hcpcoregistration,,0-4,0-4,,"0,1,2,3,4","0,1,2,3,4",,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",coregistration,0-4,"0,1,2,3,4",,SELECT * FROM df WHERE mod = 'rest',SELECT * FROM df WHERE mod = 'rest',,True,True,,checkdone,checkdone,,anatfailed,anatfailed,restfailed,restfailed,,2026-05-09 15:15:20,2026-05-09 23:24:48,,False,False
CCNPCKG0001_01_rest02,,2.0,3.0,,3.0,,3.0,3.0,,False,True,,False,False,False,False,CCNPCKG0001_01,CCNPCKG0001,1,rest02,rest,2.0,1,5.0,CCNPCKG0001_01,3.0,2.0,1,,{},{},,False,True,,AnatRestAll._.CCNPCKG0001_01_rest02._.lcj._.2._.False.json,hcpall._.CCNPCKG0001_01_rest02._.lcj._.3._.True.json,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatRestAll/lcj/AnatRestAll._.CCNPCKG0001_01_rest02._.lcj._.2._.False.json,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0001_01_rest02._.lcj._.3._.True.json,,shell,shell,,AnatRestAll,hacpall,,headmotion,hcpcoregistration,,0-4,0-4,,"0,1,2,3,4","0,1,2,3,4",,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",coregistration,0-4,"0,1,2,3,4",,SELECT * FROM df WHERE mod = 'rest',SELECT * FROM df WHERE mod = 'rest',,True,True,,checkdone,checkdone,,anatfailed,anatfailed,restfailed,restfailed,,2026-05-09 15:17:45,2026-05-09 23:20:33,,False,False
CCNPCKG0001_02_rest01,,2.0,3.0,,3.0,,3.0,3.0,,False,False,,False,False,False,False,CCNPCKG0001_02,CCNPCKG0001,2,rest01,rest,1.0,1,5.0,CCNPCKG0001_02,3.0,2.0,1,,{},{},,False,True,,AnatRestAll._.CCNPCKG0001_02_rest01._.lcj._.2._.False.json,hcpall._.CCNPCKG0001_02_rest01._.lcj._.3._.False.json,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatRestAll/lcj/AnatRestAll._.CCNPCKG0001_02_rest01._.lcj._.2._.False.json,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0001_02_rest01._.lcj._.3._.False.json,,shell,shell,,AnatRestAll,hacpall,,headmotion,hcpcoregistration,,0-4,0-4,,"0,1,2,3,4","0,1,2,3,4",,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",coregistration,0-4,"0,1,2,3,4",,SELECT * FROM df WHERE mod = 'rest',SELECT * FROM df WHERE mod = 'rest',,True,True,,checkdone,checkdone,,anatfailed,anatfailed,restfailed,restfailed,,2026-05-09 15:18:42,2026-05-09 23:25:39,,False,False
CCNPCKG0001_02_rest02,,3.0,3.0,,3.0,,3.0,3.0,,False,False,,False,False,False,False,CCNPCKG0001_02,CCNPCKG0001,2,rest02,rest,2.0,1,5.0,CCNPCKG0001_02,3.0,2.0,1,,{},{},,False,True,,AnatRestAll._.CCNPCKG0001_02_rest02._.lcj._.3._.False.json,hcpall._.CCNPCKG0001_02_rest02._.lcj._.3._.False.json,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatRestAll/lcj/AnatRestAll._.CCNPCKG0001_02_rest02._.lcj._.3._.False.json,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0001_02_rest02._.lcj._.3._.False.json,,shell,shell,,AnatRestAll,hacpall,,headmotion,hcpcoregistration,,0-4,0-4,,"0,1,2,3,4","0,1,2,3,4",,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",coregistration,0-4,"0,1,2,3,4",,SELECT * FROM df WHERE mod = 'rest',SELECT * FROM df WHERE mod = 'rest',,True,True,,checkdone,checkdone,,anatfailed,anatfailed,restfailed,restfailed,,2026-05-09 15:19:37,2026-05-09 23:26:15,,False,False
CCNPCKG0002_01_rest01,,2.0,3.0,,3.0,,3.0,3.0,,False,False,,False,False,False,False,CCNPCKG0002_01,CCNPCKG0002,1,rest01,rest,1.0,1,5.0,CCNPCKG0002_01,3.0,2.0,1,,{},{},,False,True,,AnatRestAll._.CCNPCKG0002_01_rest01._.lcj._.2._.False.json,hcpall._.CCNPCKG0002_01_rest01._.lcj._.3._.False.json,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatRestAll/lcj/AnatRestAll._.CCNPCKG0002_01_rest01._.lcj._.2._.False.json,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0002_01_rest01._.lcj._.3._.False.json,,shell,shell,,AnatRestAll,hacpall,,headmotion,hcpcoregistration,,0-4,0-4,,"0,1,2,3,4","0,1,2,3,4",,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",coregistration,0-4,"0,1,2,3,4",,SELECT * FROM df WHERE mod = 'rest',SELECT * FROM df WHERE mod = 'rest',,True,True,,checkdone,checkdone,,anatfailed,anatfailed,restfailed,restfailed,,2026-05-09 15:20:41,2026-05-09 23:26:51,,False,False
CCNPCKG0002_01_rest02,,2.0,3.0,,3.0,,3.0,3.0,,False,False,,False,False,False,False,CCNPCKG0002_01,CCNPCKG0002,1,rest02,rest,2.0,1,5.0,CCNPCKG0002_01,3.0,2.0,1,,{},{},,False,True,,AnatRestAll._.CCNPCKG0002_01_rest02._.lcj._.2._.False.json,hcpall._.CCNPCKG0002_01_rest02._.lcj._.3._.False.json,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatRestAll/lcj/AnatRestAll._.CCNPCKG0002_01_rest02._.lcj._.2._.False.json,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0002_01_rest02._.lcj._.3._.False.json,,shell,shell,,AnatRestAll,hacpall,,headmotion,hcpcoregistration,,0-4,0-4,,"0,1,2,3,4","0,1,2,3,4",,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",coregistration,0-4,"0,1,2,3,4",,SELECT * FROM df WHERE mod = 'rest',SELECT * FROM df WHERE mod = 'rest',,True,True,,checkdone,checkdone,,anatfailed,anatfailed,restfailed,restfailed,,2026-05-09 15:22:06,2026-05-09 23:27:25,,False,False
CCNPCKG0002_02_rest01,,3.0,3.0,,3.0,,3.0,3.0,,False,False,,False,False,False,False,CCNPCKG0002_02,CCNPCKG0002,2,rest01,rest,1.0,1,5.0,CCNPCKG0002_02,3.0,2.0,1,,{},{},,False,True,,AnatRestAll._.CCNPCKG0002_02_rest01._.lcj._.3._.False.json,hcpall._.CCNPCKG0002_02_rest01._.lcj._.3._.False.json,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/AnatRestAll/lcj/AnatRestAll._.CCNPCKG0002_02_rest01._.lcj._.3._.False.json,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0002_02_rest01._.lcj._.3._.False.json,,shell,shell,,AnatRestAll,hacpall,,headmotion,hcpcoregistration,,0-4,0-4,,"0,1,2,3,4","0,1,2,3,4",,skullstrip,,0-4,,"0,1,2,3,4",,fs_recon,,0-4,,"0,1,2,3,4",coregistration,0-4,"0,1,2,3,4",,SELECT * FROM df WHERE mod = 'rest',SELECT * FROM df WHERE mod = 'rest',,True,True,,checkdone,checkdone,,anatfailed,anatfailed,restfailed,restfailed,,2026-05-09 15:22:39,2026-05-10 09:42:31,,False,False
CCNPCKG0002_02_rest02,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0002_02,CCNPCKG0002,2,rest02,rest,2.0,1,5.0,CCNPCKG0002_02,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0002_02_rest02._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0002_02_rest02._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 09:43:12,,,False
CCNPCKG0003_01_rest01,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0003_01,CCNPCKG0003,1,rest01,rest,1.0,1,5.0,CCNPCKG0003_01,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0003_01_rest01._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0003_01_rest01._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 09:43:37,,,False
CCNPCKG0003_01_rest02,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0003_01,CCNPCKG0003,1,rest02,rest,2.0,1,5.0,CCNPCKG0003_01,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0003_01_rest02._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0003_01_rest02._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 10:11:04,,,False
CCNPCKG0003_02_rest01,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0003_02,CCNPCKG0003,2,rest01,rest,1.0,1,5.0,CCNPCKG0003_02,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0003_02_rest01._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0003_02_rest01._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 10:11:31,,,False
CCNPCKG0003_02_rest02,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0003_02,CCNPCKG0003,2,rest02,rest,2.0,1,5.0,CCNPCKG0003_02,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0003_02_rest02._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0003_02_rest02._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 10:16:47,,,False
CCNPCKG0004_01_rest01,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0004_01,CCNPCKG0004,1,rest01,rest,1.0,1,5.0,CCNPCKG0004_01,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0004_01_rest01._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0004_01_rest01._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 10:17:15,,,False
CCNPCKG0004_01_rest02,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0004_01,CCNPCKG0004,1,rest02,rest,2.0,1,5.0,CCNPCKG0004_01,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0004_01_rest02._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0004_01_rest02._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 10:17:41,,,False
CCNPCKG0004_02_rest01,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0004_02,CCNPCKG0004,2,rest01,rest,1.0,1,5.0,CCNPCKG0004_02,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0004_02_rest01._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0004_02_rest01._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 10:18:06,,,False
CCNPCKG0004_02_rest02,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0004_02,CCNPCKG0004,2,rest02,rest,2.0,1,5.0,CCNPCKG0004_02,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0004_02_rest02._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0004_02_rest02._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 10:18:33,,,False
CCNPCKG0004_03_rest01,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0004_03,CCNPCKG0004,3,rest01,rest,1.0,1,5.0,CCNPCKG0004_03,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0004_03_rest01._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0004_03_rest01._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 10:18:59,,,False
CCNPCKG0004_03_rest02,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0004_03,CCNPCKG0004,3,rest02,rest,2.0,1,5.0,CCNPCKG0004_03,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0004_03_rest02._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0004_03_rest02._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 10:19:24,,,False
CCNPCKG0005_01_rest01,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0005_01,CCNPCKG0005,1,rest01,rest,1.0,1,5.0,CCNPCKG0005_01,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0005_01_rest01._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0005_01_rest01._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 10:19:51,,,False
CCNPCKG0005_01_rest02,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0005_01,CCNPCKG0005,1,rest02,rest,2.0,1,5.0,CCNPCKG0005_01,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0005_01_rest02._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0005_01_rest02._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 10:20:19,,,False
CCNPCKG0005_02_rest01,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0005_02,CCNPCKG0005,2,rest01,rest,1.0,1,5.0,CCNPCKG0005_02,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0005_02_rest01._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0005_02_rest01._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 10:20:47,,,False
CCNPCKG0005_02_rest02,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0005_02,CCNPCKG0005,2,rest02,rest,2.0,1,5.0,CCNPCKG0005_02,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0005_02_rest02._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0005_02_rest02._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 10:21:12,,,False
CCNPCKG0005_03_rest01,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0005_03,CCNPCKG0005,3,rest01,rest,1.0,1,5.0,CCNPCKG0005_03,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0005_03_rest01._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0005_03_rest01._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 10:21:43,,,False
CCNPCKG0005_03_rest02,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0005_03,CCNPCKG0005,3,rest02,rest,2.0,1,5.0,CCNPCKG0005_03,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0005_03_rest02._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0005_03_rest02._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 10:23:40,,,False
CCNPCKG0006_01_rest01,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0006_01,CCNPCKG0006,1,rest01,rest,1.0,1,5.0,CCNPCKG0006_01,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0006_01_rest01._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0006_01_rest01._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 10:24:06,,,False
CCNPCKG0006_01_rest02,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0006_01,CCNPCKG0006,1,rest02,rest,2.0,1,5.0,CCNPCKG0006_01,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0006_01_rest02._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0006_01_rest02._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 10:24:29,,,False
CCNPCKG0006_02_rest01,,,3.0,,,,,,,,False,,,False,,False,CCNPCKG0006_02,CCNPCKG0006,2,rest01,rest,1.0,1,5.0,CCNPCKG0006_02,3.0,2.0,1,,,{},,,True,,,hcpall._.CCNPCKG0006_02_rest01._.lcj._.3._.False.json,,,/home/ubuntu/disc_luo/ProjectADHDALL/02_calSFAstats_CCNP-PKU/easyqc/easyqc_CCNPCKG/RatingFiles/hcpall/lcj/hcpall._.CCNPCKG0006_02_rest01._.lcj._.3._.False.json,,,shell,,,hacpall,,,hcpcoregistration,,,0-4,,,"0,1,2,3,4",,,,,,,,,,,,,,,,,,SELECT * FROM df WHERE mod = 'rest',,,True,,,checkdone,,,anatfailed,,restfailed,,,2026-05-10 10:25:45,,,False
